t_s,v_true_mps,v_raw_mps,v_iqr_mps,v_kalman_mps
7.632,1.94871134599402,1.97294661325943,1.94268991891407,1.94261274214263
7.672,1.95041024336157,1.90964544397032,1.94264749320017,1.94264715247077
7.712,1.95208148973201,1.95640875743856,1.94598423403001,1.94595151439892
7.752,1.95372501912739,1.95358609261951,1.94678898565642,1.94678077436458
7.792,1.95534076666399,1.98575992178205,1.95136171558517,1.95131680007918
7.832,1.95692866855485,1.97708354393033,1.95010725000528,1.95011910947935
7.872,1.95848866211234,2.00069049386666,1.95150867621237,1.95149505169944
7.912,1.96002068575057,1.94546391245859,1.95749757318035,1.95743871927314
7.952,1.96152467898788,1.96654975396508,1.96000986260011,1.95998465288928
7.992,1.96300058244919,1.97243354380079,1.96933191172923,1.96924026312686
8.032,1.96444833786835,1.95560224730978,1.96826403603733,1.96827360781125
8.072,1.96586788809047,1.91461994628024,1.96850416629958,1.96850190570494
8.112,1.96725917707413,1.89300394361688,1.96115474893697,1.9612267868104
8.152,1.96862214989362,1.94756646400356,1.95961249302964,1.95962832096073
8.192,1.96995675274111,1.89757711004239,1.95911121694721,1.95911628708178
8.232,1.97126293292877,1.94858781933785,1.95738555883836,1.95740252839353
8.272,1.97254063889084,1.94962225618175,1.96219787273482,1.96215085503537
8.312,1.97378982018567,1.98045356314206,1.96362191440254,1.96360749086541
8.352,1.97501042749772,1.9557622820812,1.96603520180122,1.96601139842549
8.392,1.97620241263952,1.98868858758887,1.97122918894161,1.97117802921484
8.432,1.97736572855352,1.90124819929498,1.97011175430099,1.97012220898158
8.472,1.97850032931401,1.93228231604208,1.96933968958648,1.96934736208278
8.512,1.97960617012888,1.89966505744218,1.96365740773601,1.96371319696495
8.552,1.98068320734145,1.99193740300925,1.96738417739729,1.96734818393314
8.592,1.98173139843212,2.01673936457156,1.97098084316772,1.9709452254377
8.632,1.98275070202011,2.0180074288218,1.97048155655248,1.97048610276287
8.672,1.98374107786505,2.05043443373438,1.97636036904306,1.97630277266066
8.712,1.98470248686861,1.94701330676843,1.97553058212732,1.97553815335053
8.752,1.98563489107599,2.03505057589515,1.98052784537842,1.98047892212632
8.792,1.98653825367748,1.93168728011481,1.97939096052568,1.97940162784129
8.832,1.98741253900987,1.98103781061219,1.98108999181619,1.98107343763691
8.872,1.98825771255788,1.99884563932657,1.97870921932635,1.97873240016552
8.912,1.98907374095549,2.01609637603231,1.98239853099109,1.98236258507667
8.952,1.98986059198731,2.02058217674313,1.99200346136559,1.99190893388404
8.992,1.9906182345898,2.00536219554163,1.98970945852122,1.98973102407818
9.032,1.99134663885253,2.01903777032259,1.9944075590211,1.99436170623166
9.072,1.99204577601935,1.97289297425769,1.9941179442144,1.99412033426784
